indikator,jahr,region,region_typ,gruppe,gruppe_typ,wert,einheit,quelle
stimmenanteil,2021,Niedersachsen,land,GRÜNE,partei,16.064,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,FDP,partei,4.091,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,FDP,partei,10.493,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,AfD,partei,17.836,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,AfD,partei,7.438,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,Die Linke,partei,8.086,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,Die Linke,partei,3.287,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,Tierschutzpartei,partei,1.159,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,Tierschutzpartei,partei,1.281,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,dieBasis,partei,0.249,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,dieBasis,partei,1.025,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,Die PARTEI,partei,0.446,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,Die PARTEI,partei,0.888,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,FREIE WÄHLER,partei,0.75,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,FREIE WÄHLER,partei,0.823,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,PIRATEN,partei,0.16,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,PIRATEN,partei,0.375,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,Volt,partei,0.608,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,Volt,partei,0.263,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,PdH,partei,0.067,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,PdH,partei,0.084,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,MLPD,partei,0.025,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,MLPD,partei,0.018,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,BÜNDNIS DEUTSCHLAND,partei,0.125,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Niedersachsen,land,BSW,partei,3.776,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,Team Todenhöfer,partei,0.3,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Niedersachsen,land,ÖDP,partei,0.077,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2025,Bremen,land,gesamt,gesamt,77.762,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
wahlbeteiligung,2021,Bremen,land,gesamt,gesamt,71.872,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,SPD,partei,23.145,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,SPD,partei,31.467,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,GRÜNE,partei,15.586,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,GRÜNE,partei,20.859,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,CDU,partei,20.552,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,CDU,partei,17.223,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,FDP,partei,3.53,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,FDP,partei,9.292,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,Die Linke,partei,14.777,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,Die Linke,partei,7.728,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,AfD,partei,15.074,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,AfD,partei,6.882,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,Die PARTEI,partei,0.741,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,Die PARTEI,partei,1.192,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,FREIE WÄHLER,partei,0.465,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,FREIE WÄHLER,partei,0.887,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,Volt,partei,1.101,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,Volt,partei,0.403,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,MENSCHLICHE WELT,partei,0.199,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,MENSCHLICHE WELT,partei,0.118,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,MLPD,partei,0.059,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,MLPD,partei,0.049,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,BÜNDNIS DEUTSCHLAND,partei,0.268,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,BSW,partei,4.34,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,MERA25,partei,0.075,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2025,Bremen,land,Verjüngungsforschung,partei,0.087,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
stimmenanteil,2021,Bremen,land,dieBasis,partei,1.055,%,"Bundeswahlleiterin, BTW 2025 (kerg2)"
